Overall_group,Family,Genus,Species,Size_NOW,Size_Smith,Size_Phylacine,P4,M1,M2,m1,m2,m3,m1-m3,Source_P4,Note_P4,Source_M1,Note_M1,Source_M2,Note_M2,Source_m1,Note_m1,Source_m2,Note_m2,Source_m3,Note_m3,Source_m1-m3,Note_m1-m3,Status
Carnivoramorpha,Mustelidae,Sthenictis,junturensis,NA,1.64,NA,7.7,NA,NA,12.7,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Leptarctus,primus,NA,0.81,NA,7.7,NA,NA,10.1,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicynodontidae,Amphicynodon,teilhardi,NA,NA,NA,7.7,NA,NA,8.3,NA,NA,NA,Wang et al (2005) American Museum Novitates 3483 1-57,Midpoint of range,NA,NA,NA,NA,Wang et al (2005) American Museum Novitates 3483 1-57,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Amphicyonidae,Angelarctocyon,australis,NA,2.07,NA,7.7,NA,NA,7.65,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Hyaenodon,venturae,NA,1.65,NA,7.8,6.8,9.4,5.9,6.6,8.35,20.55,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Fossilworks Downloaded July 3 2020,Reported value,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Midpoint of range,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Midpoint of range,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Midpoint of range,Lavrov & Emry (1998) Journal of Paleontology 72 752-757,Midpoint of range,Accepted
Carnivoramorpha,Felidae,Prionailurus,rubiginosus,NA,NA,1.38,7.8,NA,NA,5.9,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,Lars Werdelin Pers Obs,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Plesictis,genetoides,NA,NA,NA,7.89,NA,NA,7.28,NA,NA,NA,Paterson et al (2020) Zoological Journal of the Linnean Society 188 1318-1339,Reported value,NA,NA,NA,NA,Paterson et al (2020) Zoological Journal of the Linnean Society 188 1318-1339,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Chamitaxus,avitus,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Owen (2006) Palaeontology 49 999-1011,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Viverridae,Semigenetta,laugnacensis,2,NA,NA,8,NA,NA,NA,NA,NA,NA,Nagel (2009) Annalen des Naturhistorischen Museums in Wien 111A 605-618,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Meles,dimitrius,NA,NA,NA,8,NA,NA,15.5,NA,NA,NA,Arribas & Garrido (2007) Systematic Palaeontology 6 545-555,Midpoint of range,NA,NA,NA,NA,Arribas & Garrido (2007) Systematic Palaeontology 6 545-555,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Promephitis,lartetii,NA,NA,NA,8,NA,NA,8,NA,NA,NA,Wang & Qiu (2004) Journal of Vertebrate Paleontology 24 721-731,Reported value,NA,NA,NA,NA,Wang & Qiu (2004) Journal of Vertebrate Paleontology 24 721-731,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Plesictis,laugnacensis,NA,NA,NA,8,NA,NA,7.3,NA,NA,NA,Bonis (1994) Bulletin de la Société Géologique de France 165 85-92,Reported value,NA,NA,NA,NA,Bonis (1994) Bulletin de la Société Géologique de France 165 85-92,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mephetidae,Conepatus,sanmiguelensis,NA,NA,NA,8.05,NA,NA,10.45,NA,NA,NA,Wang & Carranza-Castaneda (2008) Zoological Journal of the Linnean Society 154 386-407,Midpoint of range,NA,NA,NA,NA,Wang & Carranza-Castaneda (2008) Zoological Journal of the Linnean Society 154 386-407,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Phlaocyon,annectens,NA,3.21,NA,8.08,NA,NA,9.7,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Pliotaxidea,garberi,NA,1.93,NA,8.1,NA,NA,9.6,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,Fossilworks Downloaded July 3 2020,Reported value,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Canidae,Rhizocyon,oregonensis,3.5,2.83,NA,8.13,NA,NA,9.09,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,Wang et al (1999) Bulletin of the American Museum of Natural History 243 1-391,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Plesictis,humilidens,NA,NA,NA,8.15,NA,NA,9.1,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Stenoplesictidae,Stenoplesictis,cayluxi,NA,NA,NA,8.15,NA,NA,7.15,NA,NA,NA,Peigne & Bonis (1999) Journal of Vertebrate Paleontology 19 566-575,Reported mean,NA,NA,NA,NA,Peigne & Bonis (1999) Journal of Vertebrate Paleontology 19 566-575,Reported mean,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Mustelidae,Promartes,lepidus,NA,3.81,NA,8.2,NA,NA,NA,NA,NA,NA,Baskin (2017) Journal of Vertebrate Paleontology 37 e1293069,Reported value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Hyaenodonta_and_Oxyaenida,Hyaenodontidae,Metapterodon,kaiseri,NA,NA,NA,8.25,9.2,10.55,NA,NA,NA,NA,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Midpoint of range,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Midpoint of range,Savage (1965) Bulletin of the British Museum (Natural History) Geology 10 242-316,Midpoint of range,NA,NA,NA,NA,NA,NA,NA,NA,Accepted
Carnivoramorpha,Procyonidae,Stromeriella,franconica,1.6,NA,NA,8.25,NA,NA,9.3,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,Dehm (1950) Abhandlungen der Bayerischen Akademie der Wissenschaften Mathematisch-naturwissenschaftliche Klasse NF 58 1-141,Midpoint of range,NA,NA,NA,NA,NA,NA,Accepted
