Auhtor,Year ,Journal ,Paper
Holroyd PS,1999,PaleoBios 19: 1 - 18,"New Pterodontinae (Creodonta: Hyaenodontidae) from the late Eocene-early Oligocene Jebel Qatrani Formation, Fayum province, Egypt"
Khomenko JP,1914,Travaux de la Société des Naturalistes et des Amateurs des Sciences Naturelles Bessarabie 5: 1 - 55 ,La faune meotique du village Tarakli a du district Bendery
Hunt RM,1972,American Museum Novitates 2506: 1 - 41,"Miocene Amphicyonids (Mammalia, Carnivora) from the Agate Spring Quarries, Sioux County, Nebraska"
Hunt RM,1998,American Museum Novitates 3252: 1 - 65,"Evolution of the Aeluroid Carnivora: Diversity of the earliest aeluroids from Eurasia (Quercy, Hsanda-Gol) and the origin of felids"
Hunt RM,2002,American Museum Novitates 3384: 1 - 53,"Intercontinental migration of Neogene amphicyonids (Mammalia, Carnivora): Appearance of the Eurasian beardog Ysengrinia in North America"
Hunt RM,2003,Bulletin of the American Museum of Natural History 279: 77 - 115,"Intercontinental migration of large mammalian carnivores: Earliest occurrence of the Old World beardog Amphicyon (Carnivora, Amphicyonidae) in North America"
Hunt RM,2009,Bulletin of the American Museum of Natural History 318: 1 - 95,"Long-legged pursuit carnivorans (Amphicyonidae, Daphoeninae) from the early Miocene of North America"
Hunt RM,2011,Bulletin of the American Museum of Natural History 358: 1 - 153,"Evolution of large carnivores during the mid-Cenozoic of North America : the temnocyonine radiation (Mammalia, Amphicyonidae)"
"Hunt RM, Stepleton E",2015,Journal of Vertebrate Paleontology 35: e891229,"A skull of the immigrant Eurasian beardog Cynelos (Carnivora, Amphicyonidae) from the early Miocene of southern California"
Zack SP,2011,Journal of Paleontology 85: 315 - 336,New species of the rare early Eocene creodont Galecyon and the radiation of early Hyaenodontidae
"Janis CM, Scott KM, Jacobs LL",1998,Book,"Evolution of Tertiary Mammals of North America. Volume 1. Terrestrial Carnivores, Ungulates, and Ungulate like Mammals "
"Jiangzuo Q, Cong H, Ma R, Feng H, Liu J",2014,Proceedings of the Fourteenth Annual Meeting of the Chinese Society of Vertebrate Paleontology 119 - 134 ,"Middle and late pleistocene sun bears (ursidae, carnivora)"
"Jiangzuo Q, Wang S, Li C, Sun D, Zhang X",2019,Papers in Palaeontology https://doi.org/10.1002/spp2.1283,"New material of Gobicyon (Carnivora, Amphicyonidae, Haplocyoninae) from northern China and a review of Aktaucyonini evolution"
"Koretsky IA, Domning DP",2014,Journal of Vertebrate Paleontology 34: 224 - 229,"One of the oldest seals (Carnivora, Phocidae) from the Old World"
"Korth WW, Baskin JA",2009,Annals of Carnegie Museum 78: 29 - 44,"A New Species of Leptarctus (Carnivora, Mustelidae) from the Late Clarendonian (Late Miocene) of Kansas"
"Kostopoulos DS, Sen S",1999,Mitteilungen der Bayerischen Staatssammlung für Paläontologie und Historie. Geologie 39: 165 - 202,"Late Pliocene (Villafranchian) mammals from Sarikol Tepe, Ankara, Turkey"
Koufos GD,2009,Beiträge zur Paläontologie 31: 57 - 105,"The Late Miocene Mammal Faunas of the Mytilinii Basin, Samos Island, Greece: New Collection 5. Carnivora"
"Koufos GD, Bonis L, Sen S",1995,Geobios 28: 511- 523,"Lophocyon paraskevaidisi,a new viverrid (Carnivora, Mammalia) from the Middle Miocene of Chios Island, Greece"
"Koufos GD, Konidaris GE, Harvati K",2018,Quaternary International 497: 222 - 239,"Revisiting Ursus etruscus (Carnivora, Mammalia) from the Early Pleistocene of Greece with description of new material"
"Kraglievich JL, Olazabal AG ",1959,Revista del Museo Argentino de Ciencias Naturales 6: 1 - 59 ,Los procionidos extinguidos del genero Chapalmalania Ameghino
Kretzoi M,1942,Foldtani Kozlony 72: 350 - 353,Zwei neue Agriotheriiden aus dem Ungarischen Pannon
Dehradun KK,1992,Paläontologische Zeitschrift 66: 387 - 403,"Paratritemnodon indicus (Creodonta: Mammalia) from the early Middle Eocene Subathu Formation, NW Himalaya, India, and the Kalakot mammalian community structure"
Kurtén B,1978,Notes du Service Géologique de Tunisie 42: 177 - 214,"Fossil carnivora from the late Tertiary of Bled Douarah and Cherichira, Tunisia"
Kuss SE,1960,Berichte der Naturforschenden Gesellschaft zu Freiburg 50: 247 - 250,"Haplocyonoides ponticus n. sp., ein neuer aberranter Canide aus dem Unterpliocän von Melchingen"
"Lacruz R, Turner A, Berger LR",2006,Annals of the Transvaal Museum 43: 89 - 106,New Dinofelis (Carnivora: Machairodontinae) remains from Sterkfontein Valley sites and a taxonomic revision of the genus in southern Africa
Lange-Badre B,1970,Annales de Paléontologie 56: 73 - 91,"Mustelictis piveteaui, mustelidd nouveau des phosphorites du Quercy"
Lange-Badre B,1978,Bulletin de la Société d’Histoire Naturelle de Toulouse 114: 472 - 483,"Cynohyaenodon lautricensis nov. sp. (Creodonta, Mammalia) et les Cynohyaenodon européens"
"Lange-Badre B, Dashzeveg D",1989,Acta Palaeontologica Polonica 34: 125 - 148,On some Oligocene carnivorous mammals from Central Asia
Lavrov AV,1996,Paleontologicheskii Zhurnal 4: 95 - 107,"New Genus Neoparapterodon (Creodonta, Hyaenodontidae) from Khaitchin-Ula-2 locality (Chaitchin Formation, Middle-late Eocene, Mongolia) and Systematic Position of Asiatic Pterodon"
"Lavrov AV, Averianov A",1998,Paleontologicheskii Zhurnal 2: 96 - 102,"The oldest Asiatic Hyaenodontidae (Mammalia, Creodonta) from the Early Eocene of the southern Fergana Basin (Andarak-2 Locality)"
"Lavrov AV, Emry RJ",1998,Journal of Paleontology 72: 752 - 757,"Hyaenodon venturae (Hyaenodontidae, Creodonta, Mammalia) from the Early Chadronian (Latest Eocene) of Wyoming"
